NAME                                                                                 VERSION                                             TYPE
github.com/apparentlymart/go-textseg/v15                                             v15.0.0                                             go-module            (+2 duplicates)
github.com/aquasecurity/go-gem-version                                               v0.0.0-20201115065557-8eed6fe000ce                  go-module
github.com/aquasecurity/go-npm-version                                               v0.0.2                                              go-module
github.com/aquasecurity/go-pep440-version                                            v0.0.1                                              go-module            (+1 duplicate)
github.com/aquasecurity/go-version                                                   v0.0.1                                              go-module            (+1 duplicate)
github.com/aquasecurity/iamgo                                                        v0.0.10                                             go-module
github.com/aquasecurity/jfather                                                      v0.0.8                                              go-module
github.com/aquasecurity/table                                                        v1.11.0                                             go-module
github.com/aquasecurity/tml                                                          v0.6.1                                              go-module
github.com/aquasecurity/trivy                                                        v0.69.3                                             go-module
github.com/aquasecurity/trivy-checks                                                 v1.12.2-0.20251219190323-79d27547baf5               go-module
github.com/aquasecurity/trivy-db                                                     v0.0.0-20251222105351-a833f47f8f0d                  go-module
github.com/aquasecurity/trivy-java-db                                                v0.0.0-20240109071736-184bd7481d48                  go-module
github.com/aquasecurity/trivy-kubernetes                                             v0.9.1                                              go-module
github.com/armon/circbuf                                                             v0.0.0-20190214190532-5111143e8da2                  go-module
github.com/armon/go-metrics                                                          v0.4.1                                              go-module
github.com/asaskevich/govalidator                                                    v0.0.0-20230301143203-a9d515a09cc2                  go-module
github.com/aws/aws-sdk-go-v2                                                         v1.24.1                                             go-module            (+2 duplicates)
github.com/aws/aws-sdk-go-v2                                                         v1.41.0                                             go-module
github.com/aws/aws-sdk-go-v2                                                         v1.41.2                                             go-module
github.com/aws/aws-sdk-go-v2/aws/protocol/eventstream                                v1.5.4                                              go-module
github.com/aws/aws-sdk-go-v2/aws/protocol/eventstream                                v1.7.3                                              go-module
github.com/aws/aws-sdk-go-v2/aws/protocol/eventstream                                v1.7.4                                              go-module
github.com/aws/aws-sdk-go-v2/config                                                  v1.26.6                                             go-module            (+2 duplicates)
github.com/aws/aws-sdk-go-v2/config                                                  v1.32.10                                            go-module
github.com/aws/aws-sdk-go-v2/config                                                  v1.32.5                                             go-module
github.com/aws/aws-sdk-go-v2/credentials                                             v1.16.16                                            go-module            (+2 duplicates)
github.com/aws/aws-sdk-go-v2/credentials                                             v1.19.10                                            go-module
github.com/aws/aws-sdk-go-v2/credentials                                             v1.19.5                                             go-module
github.com/aws/aws-sdk-go-v2/feature/ec2/imds                                        v1.14.11                                            go-module            (+2 duplicates)
github.com/aws/aws-sdk-go-v2/feature/ec2/imds                                        v1.18.16                                            go-module
github.com/aws/aws-sdk-go-v2/feature/ec2/imds                                        v1.18.18                                            go-module
github.com/aws/aws-sdk-go-v2/internal/configsources                                  v1.2.10                                             go-module            (+2 duplicates)
