NAME                                                                                 VERSION                                             TYPE
libdvbv5-doc                                                                         1.22.1-5                                            deb
libdvdnav4                                                                           6.1.1-1                                             deb
libdvdread8                                                                          6.1.3-1                                             deb
libdw-dev                                                                            0.188-2.1                                           deb
libdw1                                                                               0.188-2.1                                           deb
libedit2                                                                             3.1-20221030-2                                      deb
libegl-dev                                                                           1.6.0-1                                             deb
libegl-mesa0                                                                         22.3.6-1+deb12u1                                    deb
libegl1                                                                              1.6.0-1                                             deb
libegl1-mesa-dev                                                                     22.3.6-1+deb12u1                                    deb
libelf-dev                                                                           0.188-2.1                                           deb
libelf1                                                                              0.188-2.1                                           deb
libenchant-2-2                                                                       2.3.3-2                                             deb
libencode-locale-perl                                                                1.05-3                                              deb
libepoxy-dev                                                                         1.5.10-1                                            deb
libepoxy0                                                                            1.5.10-1                                            deb
libept1.6.0                                                                          1.2.1                                               deb
liberror-perl                                                                        0.17029-2                                           deb
libestr0                                                                             0.1.11-1                                            deb
libevdev-dev                                                                         1.13.0+dfsg-1                                       deb
libevdev2                                                                            1.13.0+dfsg-1                                       deb
libevent-2.1-7                                                                       2.1.12-stable-8                                     deb
libevent-core-2.1-7                                                                  2.1.12-stable-8                                     deb
libevent-pthreads-2.1-7                                                              2.1.12-stable-8                                     deb
libexempi8                                                                           2.6.3-1                                             deb
libexif-dev                                                                          0.6.24-1+b1                                         deb
libexif12                                                                            0.6.24-1+b1                                         deb
libexiv2-27                                                                          0.27.6-1                                            deb
libexo-2-0                                                                           4.18.0-1                                            deb
libexo-common                                                                        4.18.0-1                                            deb
libexpat1                                                                            2.5.0-1+deb12u2                                     deb
libexpat1-dev                                                                        2.5.0-1+deb12u2                                     deb
libext2fs2                                                                           1.47.0-2+b2                                         deb
libfaad2                                                                             2.10.1-1                                            deb
libfabric1                                                                           1.17.0-3                                            deb
libfastjson4                                                                         1.2304.0-1                                          deb
libfdisk1                                                                            2.38.1-5+deb12u3                                    deb
libffi-dev                                                                           3.4.4-1                                             deb
libffi8                                                                              3.4.4-1                                             deb
libfftw3-double3                                                                     3.3.10-1                                            deb
libfftw3-single3                                                                     3.3.10-1                                            deb
libfido2-1                                                                           1.12.0-2+b1                                         deb
libfile-basedir-perl                                                                 0.09-2                                              deb
libfile-desktopentry-perl                                                            0.22-3                                              deb
libfile-listing-perl                                                                 6.15-1                                              deb
libfile-mimeinfo-perl                                                                0.33-1                                              deb
libflac12                                                                            1.4.2+ds-2                                          deb
libflite1                                                                            2.2-5                                               deb
libfluidsynth3                                                                       2.3.1-2                                             deb
libfmt9                                                                              9.1.0+ds1-2                                         deb
libfontconfig-dev                                                                    2.14.1-4                                            deb
libfontconfig1                                                                       2.14.1-4                                            deb
libfontenc-dev                                                                       1:1.1.4-1                                           deb
libfontenc1                                                                          1:1.1.4-1                                           deb
libfoonathan-memory-dev                                                              0.7.2-3                                             deb
libfoonathan-memory0.7.2                                                             0.7.2-3                                             deb
libfreeaptx0                                                                         0.1.1-2                                             deb
libfreerdp2-2                                                                        2.11.7+dfsg1-6~deb12u1                              deb
libfreetype-dev                                                                      2.12.1+dfsg-5+deb12u4                               deb
libfreetype6                                                                         2.12.1+dfsg-5+deb12u4                               deb
libfreexl1                                                                           1.0.6-2                                             deb
libfribidi-dev                                                                       1.0.8-2.1                                           deb
libfribidi0                                                                          1.0.8-2.1                                           deb
libfuse2                                                                             2.9.9-6+b1                                          deb
libfuse3-3                                                                           3.14.0-4                                            deb
libfyba0                                                                             4.1.1-8                                             deb
libgarcon-1-0                                                                        4.18.0-1                                            deb
libgarcon-common                                                                     4.18.0-1                                            deb
libgarcon-gtk3-1-0                                                                   4.18.0-1                                            deb
libgav1-1                                                                            0.18.0-1+b1                                         deb
libgbm-dev                                                                           22.3.6-1+deb12u1                                    deb
libgbm1                                                                              22.3.6-1+deb12u1                                    deb
libgcc-12-dev                                                                        12.2.0-14+deb12u1                                   deb
libgcc-s1                                                                            12.2.0-14+deb12u1                                   deb
libgck-1-0                                                                           3.41.1-1+b1                                         deb
libgcr-base-3-1                                                                      3.41.1-1+b1                                         deb
libgcrypt20                                                                          1.10.1-3                                            deb
libgd3                                                                               2.3.3-9                                             deb
libgdal32                                                                            3.6.2+dfsg-1+b2                                     deb
libgdbm-compat4                                                                      1.23-3                                              deb
libgdbm6                                                                             1.23-3                                              deb
libgdcm-dev                                                                          3.0.21-1                                            deb
libgdcm3.0                                                                           3.0.21-1                                            deb
libgdk-pixbuf-2.0-0                                                                  2.42.10+dfsg-1+deb12u3                              deb
libgdk-pixbuf-2.0-dev                                                                2.42.10+dfsg-1+deb12u3                              deb
libgdk-pixbuf2.0-bin                                                                 2.42.10+dfsg-1+deb12u3                              deb
libgdk-pixbuf2.0-common                                                              2.42.10+dfsg-1+deb12u3                              deb
libgeos-c1v5                                                                         3.11.1-1                                            deb
libgeos3.11.1                                                                        3.11.1-1                                            deb
libgeotiff5                                                                          1.7.1-2+b1                                          deb
libgexiv2-2                                                                          0.14.0-1+b1                                         deb
libgfapi0                                                                            10.3-5                                              deb
libgfortran5                                                                         12.2.0-14+deb12u1                                   deb
libgfrpc0                                                                            10.3-5                                              deb
libgfxdr0                                                                            10.3-5                                              deb
libgif7                                                                              5.2.1-2.5                                           deb
libgirara-gtk3-3                                                                     0.4.0-1                                             deb
libgirepository-1.0-1                                                                1.74.0-3                                            deb
libgl-dev                                                                            1.6.0-1                                             deb
libgl1                                                                               1.6.0-1                                             deb
libgl1-mesa-dri                                                                      22.3.6-1+deb12u1                                    deb
libgl2ps1.4                                                                          1.4.2+dfsg1-2                                       deb
libglapi-mesa                                                                        22.3.6-1+deb12u1                                    deb
libgles-dev                                                                          1.6.0-1                                             deb
libgles1                                                                             1.6.0-1                                             deb
libgles2                                                                             1.6.0-1                                             deb
libglew2.2                                                                           2.2.0-4+b1                                          deb
libglib2.0-0                                                                         2.74.6-2+deb12u8                                    deb
libglib2.0-bin                                                                       2.74.6-2+deb12u8                                    deb
libglib2.0-data                                                                      2.74.6-2+deb12u8                                    deb
libglib2.0-dev                                                                       2.74.6-2+deb12u8                                    deb
libglib2.0-dev-bin                                                                   2.74.6-2+deb12u8                                    deb
libglibmm-2.4-1v5                                                                    2.66.5-2                                            deb
libglu1-mesa                                                                         9.0.2-1.1                                           deb
libglu1-mesa-dev                                                                     9.0.2-1.1                                           deb
libglusterfs0                                                                        10.3-5                                              deb
libglvnd-core-dev                                                                    1.6.0-1                                             deb
libglvnd-dev                                                                         1.6.0-1                                             deb
libglvnd0                                                                            1.6.0-1                                             deb
libglx-dev                                                                           1.6.0-1                                             deb
libglx-mesa0                                                                         22.3.6-1+deb12u1                                    deb
libglx0                                                                              1.6.0-1                                             deb
libgme0                                                                              0.6.3-6                                             deb
libgmp10                                                                             2:6.2.1+dfsg1-1.1                                   deb
libgnome-autoar-0-0                                                                  0.4.3-1                                             deb
libgnome-desktop-3-20                                                                43.2-2                                              deb
libgnome-desktop-4-2                                                                 43.2-2                                              deb
libgnutls30                                                                          3.7.9-2+deb12u6                                     deb
libgomp1                                                                             12.2.0-14+deb12u1                                   deb
libgpg-error0                                                                        1.46-1                                              deb
libgphoto2-6                                                                         2.5.30-1                                            deb
libgphoto2-dev                                                                       2.5.30-1                                            deb
libgphoto2-port12                                                                    2.5.30-1                                            deb
libgpm2                                                                              1.20.7-10+b1                                        deb
libgprofng0                                                                          2.40-2                                              deb
libgraphene-1.0-0                                                                    1.10.8-1                                            deb
libgraphite2-3                                                                       1.3.14-1                                            deb
libgraphite2-dev                                                                     1.3.14-1                                            deb
libgs-common                                                                         10.0.0~dfsg-11+deb12u8                              deb
libgs10                                                                              10.0.0~dfsg-11+deb12u8                              deb
libgs10-common                                                                       10.0.0~dfsg-11+deb12u8                              deb
libgsettings-qt1                                                                     0.2-5                                               deb
libgsf-1-114                                                                         1.14.50-1+deb12u1                                   deb
libgsf-1-common                                                                      1.14.50-1+deb12u1                                   deb
libgsm1                                                                              1.0.22-1                                            deb
libgssapi-krb5-2                                                                     1.20.1-2+deb12u4                                    deb
libgssdp-1.6-0                                                                       1.6.2-2                                             deb
libgstreamer-gl1.0-0                                                                 1.22.9-1                                            deb
libgstreamer-gl1.0-0-dbgsym                                                          1.22.9-1                                            deb
libgstreamer-opencv1.0-0                                                             1.22.9-2                                            deb
libgstreamer-opencv1.0-0-dbgsym                                                      1.22.9-2                                            deb
libgstreamer-plugins-bad1.0-0                                                        1.22.9-2                                            deb
libgstreamer-plugins-bad1.0-0-dbgsym                                                 1.22.9-2                                            deb
libgstreamer-plugins-bad1.0-dev                                                      1.22.9-2                                            deb
libgstreamer-plugins-base1.0-0                                                       1.22.9-1                                            deb
libgstreamer-plugins-base1.0-0-dbgsym                                                1.22.9-1                                            deb
libgstreamer-plugins-base1.0-dev                                                     1.22.9-1                                            deb
libgstreamer1.0-0                                                                    1.22.9-1                                            deb
libgstreamer1.0-0-dbgsym                                                             1.22.9-1                                            deb
libgstreamer1.0-dev                                                                  1.22.9-1                                            deb
libgstreamer1.0-dev-dbgsym                                                           1.22.9-1                                            deb
libgtk-3-0                                                                           3.24.38-2~deb12u3                                   deb
libgtk-3-common                                                                      3.24.38-2~deb12u3                                   deb
libgtk-3-dev                                                                         3.24.38-2~deb12u3                                   deb
libgtk-4-1                                                                           4.8.3+ds-2+deb12u1                                  deb
libgtk-4-common                                                                      4.8.3+ds-2+deb12u1                                  deb
libgtk2.0-0                                                                          2.24.33-2+deb12u1                                   deb
libgtk2.0-common                                                                     2.24.33-2+deb12u1                                   deb
libgtk2.0-dev                                                                        2.24.33-2+deb12u1                                   deb
libgtkmm-3.0-1v5                                                                     3.24.7-1                                            deb
libgtop-2.0-11                                                                       2.40.0-2                                            deb
libgtop2-common                                                                      2.40.0-2                                            deb
libgudev-1.0-0                                                                       237-2                                               deb
libgudev-1.0-dev                                                                     237-2                                               deb
libgupnp-1.6-0                                                                       1.6.3-1                                             deb
libgupnp-igd-1.0-4                                                                   1.2.0-3                                             deb
libgxps2                                                                             0.3.2-2+b1                                          deb
libhandy-1-0                                                                         1.8.1-1                                             deb
libharfbuzz-dev                                                                      6.0.0+dfsg-3                                        deb
libharfbuzz-gobject0                                                                 6.0.0+dfsg-3                                        deb
libharfbuzz-icu0                                                                     6.0.0+dfsg-3                                        deb
libharfbuzz-subset0                                                                  6.0.0+dfsg-3                                        deb
libharfbuzz0b                                                                        6.0.0+dfsg-3                                        deb
libhdf4-0-alt                                                                        4.2.15-5                                            deb
libhdf5-103-1                                                                        1.10.8+repack1-1                                    deb
libhdf5-hl-100                                                                       1.10.8+repack1-1                                    deb
libheif1                                                                             1.15.1-1+deb12u1                                    deb
libhogweed6                                                                          3.8.1-2                                             deb
libhtml-parser-perl                                                                  3.81-1                                              deb
libhtml-tagset-perl                                                                  3.20-6                                              deb
libhtml-tree-perl                                                                    5.07-3                                              deb
libhttp-cookies-perl                                                                 6.10-1                                              deb
libhttp-date-perl                                                                    6.05-2                                              deb
libhttp-message-perl                                                                 6.44-1                                              deb
libhttp-negotiate-perl                                                               6.01-2                                              deb
libhunspell-1.7-0                                                                    1.7.1-1                                             deb
libhwasan0                                                                           12.2.0-14+deb12u1                                   deb
libhwloc-plugins                                                                     2.9.0-1                                             deb
libhwloc15                                                                           2.9.0-1                                             deb
libhwy1                                                                              1.0.3-3+deb12u1                                     deb
libhyphen0                                                                           2.8.8-7                                             deb
libi2c0                                                                              4.3-2+b3                                            deb
libibus-1.0-5                                                                        1.5.27-5                                            deb
libibverbs1                                                                          44.0-2                                              deb
libical3                                                                             3.0.16-1+b1                                         deb
libice-dev                                                                           2:1.0.10-1                                          deb
libice6                                                                              2:1.0.10-1                                          deb
libicu-dev                                                                           72.1-3+deb12u1                                      deb
libicu72                                                                             72.1-3+deb12u1                                      deb
libid3tag0                                                                           0.15.1b-14                                          deb
libidn12                                                                             1.41-1                                              deb
libidn2-0                                                                            2.3.3-1+b1                                          deb
libiec61883-0                                                                        1.2.0-6+b1                                          deb
libijs-0.35                                                                          0.35-15                                             deb
libimath-3-1-29                                                                      3.1.6-1                                             deb
libimath-dev                                                                         3.1.6-1                                             deb
libimlib2                                                                            1.10.0-4+deb12u1                                    deb
libindi-data                                                                         1.9.9+dfsg-2                                        deb
libindidriver1                                                                       1.9.9+dfsg-2+b1                                     deb
libinih1                                                                             55-1                                                deb
libiniparser1                                                                        4.1-6                                               deb
libinput-bin                                                                         1.22.1-1                                            deb
libinput-dev                                                                         1.22.1-1                                            deb
libinput10                                                                           1.22.1-1                                            deb
libinstpatch-1.0-2                                                                   1.1.6-1                                             deb
libio-html-perl                                                                      1.004-3                                             deb
libio-socket-ssl-perl                                                                2.081-2                                             deb
libip4tc2                                                                            1.8.9-2                                             deb
libip6tc2                                                                            1.8.9-2                                             deb
libipc-system-simple-perl                                                            1.30-2                                              deb
libiperf0                                                                            3.12-1+deb12u2                                      deb
libiptcdata0                                                                         1.0.5-2.3                                           deb
libisl23                                                                             0.25-1.1                                            deb
libitm1                                                                              12.2.0-14+deb12u1                                   deb
libiw30                                                                              30~pre9-14                                          deb
libjack-jackd2-0                                                                     1.9.21~dfsg-3                                       deb
libjansson4                                                                          2.14-2                                              deb
libjavascriptcoregtk-4.0-18                                                          2.50.6-1~deb12u1                                    deb
libjbig-dev                                                                          2.1-6.1                                             deb
libjbig0                                                                             2.1-6.1                                             deb
libjbig2dec0                                                                         0.19-3                                              deb
libjim0.81                                                                           0.81+dfsg0-2                                        deb
libjpeg-dev                                                                          1:2.1.5-2                                           deb
libjpeg62-turbo                                                                      1:2.1.5-2                                           deb
libjpeg62-turbo-dev                                                                  1:2.1.5-2                                           deb
libjs-jquery                                                                         3.6.1+dfsg+~3.5.14-1                                deb
libjs-jquery-hotkeys                                                                 0~20130707+git2d51e3a9+dfsg-2.1                     deb
libjs-jquery-isonscreen                                                              1.2.0-1.1                                           deb
libjs-jquery-metadata                                                                12-4                                                deb
libjs-jquery-tablesorter                                                             1:2.31.3+dfsg1-3                                    deb
libjs-jquery-throttle-debounce                                                       1.1+dfsg.1-2                                        deb
libjson-c5                                                                           0.16-2                                              deb
libjson-glib-1.0-0                                                                   1.6.6-1                                             deb
libjson-glib-1.0-common                                                              1.6.6-1                                             deb
libjson-glib-dev                                                                     1.6.6-1                                             deb
libjsoncpp25                                                                         1.9.5-4                                             deb
libjudydebian1                                                                       1.0.5-5+b2                                          deb
libjxl0.7                                                                            0.7.0-10+deb12u1                                    deb
libk5crypto3                                                                         1.20.1-2+deb12u4                                    deb
libkate1                                                                             0.4.1-11                                            deb
libkeybinder-3.0-0                                                                   0.3.2-1.1                                           deb
libkeyutils1                                                                         1.6.3-2                                             deb
libklibc                                                                             2.0.12-1                                            deb
libkmlbase1                                                                          1.3.0-10                                            deb
libkmldom1                                                                           1.3.0-10                                            deb
libkmlengine1                                                                        1.3.0-10                                            deb
libkmod2                                                                             30+20221128-1                                       deb
libkrb5-3                                                                            1.20.1-2+deb12u4                                    deb
libkrb5support0                                                                      1.20.1-2+deb12u4                                    deb
libksba8                                                                             1.6.3-2                                             deb
liblapack3                                                                           3.11.0-2                                            deb
liblc3-0                                                                             1.0.1-1+b1                                          deb
liblcms2-2                                                                           2.14-2                                              deb
libldacbt-abr2                                                                       2.0.2.3+git20200429+ed310a0-4                       deb
libldacbt-enc2                                                                       2.0.2.3+git20200429+ed310a0-4                       deb
libldap-2.5-0                                                                        2.5.13+dfsg-5                                       deb
liblept5                                                                             1.82.0-3+b3                                         deb
liblerc-dev                                                                          4.0.0+ds-2                                          deb
liblerc4                                                                             4.0.0+ds-2                                          deb
liblightdm-gobject-1-0                                                               1.26.0-8                                            deb
liblilv-0-0                                                                          0.24.14-1                                           deb
libllvm14                                                                            1:14.0.6-12                                         deb
libllvm15                                                                            1:15.0.6-4+b1                                       deb
liblocale-gettext-perl                                                               1.07-5                                              deb
liblognorm5                                                                          2.0.6-4                                             deb
liblqr-1-0                                                                           0.4.2-2.1                                           deb
liblrdf0                                                                             0.6.1-4                                             deb
liblsan0                                                                             12.2.0-14+deb12u1                                   deb
libltc11                                                                             1.3.2-1                                             deb
libltdl7                                                                             2.4.7-7~deb12u1                                     deb
liblua5.3-0                                                                          5.3.6-2                                             deb
liblua5.4-0                                                                          5.4.4-3+deb12u1                                     deb
liblwp-mediatypes-perl                                                               6.04-2                                              deb
liblwp-protocol-https-perl                                                           6.10-1                                              deb
liblz4-1                                                                             1.9.4-1                                             deb
liblzma-dev                                                                          5.4.1-1                                             deb
liblzma5                                                                             5.4.1-1                                             deb
liblzo2-2                                                                            2.10-2                                              deb
libmad0                                                                              0.15.1b-10.1+b1                                     deb
libmagic-dev                                                                         1:5.44-3                                            deb
libmagic-mgc                                                                         1:5.44-3                                            deb
libmagic1                                                                            1:5.44-3                                            deb
libmagickcore-6.q16-6                                                                8:6.9.11.60+dfsg-1.6+deb12u7                        deb
libmagickwand-6.q16-6                                                                8:6.9.11.60+dfsg-1.6+deb12u7                        deb
libmali-bifrost-g52-g24p0-x11-wayland-gbm                                            1.9-1                                               deb
libmali-bifrost-g52-g24p0-x11-wayland-gbm-dbgsym                                     1.9-1                                               deb
libmanette-0.2-0                                                                     0.2.6-3+b1                                          deb
libmariadb3                                                                          1:10.11.14-0+deb12u2                                deb
libmarisa0                                                                           0.2.6-13+b1                                         deb
libmbedcrypto7                                                                       2.28.3-1                                            deb
libmbim-glib4                                                                        1.28.2-1                                            deb
libmbim-proxy                                                                        1.28.2-1                                            deb
libmd0                                                                               1.0.4-2                                             deb
libmd4c0                                                                             0.4.8-1                                             deb
libminizip1                                                                          1.1-8+deb12u1                                       deb
libmjpegutils-2.1-0                                                                  1:2.1.0+debian-7                                    deb
libmm-glib0                                                                          1.20.4-1                                            deb
libmnl0                                                                              1.0.4-3                                             deb
libmodbus-dev                                                                        3.1.6-2.1                                           deb
libmodbus5                                                                           3.1.6-2.1                                           deb
